rna_id	model_tool	structure_file	confidence	energy	source_version	fetch_date
ENST00000467383_9606	RNAfold	data/raw/rna/predicted_structures/rnafold_dbn/ENST00000467383_9606.dbn		-39.50	ViennaRNA:2.7.2	2026-04-12
ENST00000468347_9606	RNAfold	data/raw/rna/predicted_structures/rnafold_dbn/ENST00000468347_9606.dbn		-32.40	ViennaRNA:2.7.2	2026-04-12
ENST00000468503_9606	RNAfold	data/raw/rna/predicted_structures/rnafold_dbn/ENST00000468503_9606.dbn		-55.10	ViennaRNA:2.7.2	2026-04-12
ENST00000468813_9606	RNAfold	data/raw/rna/predicted_structures/rnafold_dbn/ENST00000468813_9606.dbn		-19.30	ViennaRNA:2.7.2	2026-04-12
ENST00000468931_9606	RNAfold	data/raw/rna/predicted_structures/rnafold_dbn/ENST00000468931_9606.dbn		-29.40	ViennaRNA:2.7.2	2026-04-12
ENST00000469652_9606	RNAfold	data/raw/rna/predicted_structures/rnafold_dbn/ENST00000469652_9606.dbn		-16.90	ViennaRNA:2.7.2	2026-04-12
ENST00000470555_9606	RNAfold	data/raw/rna/predicted_structures/rnafold_dbn/ENST00000470555_9606.dbn		-43.20	ViennaRNA:2.7.2	2026-04-12
ENST00000471081_9606	RNAfold	data/raw/rna/predicted_structures/rnafold_dbn/ENST00000471081_9606.dbn		-32.20	ViennaRNA:2.7.2	2026-04-12
ENST00000471242_9606	RNAfold	data/raw/rna/predicted_structures/rnafold_dbn/ENST00000471242_9606.dbn		-28.70	ViennaRNA:2.7.2	2026-04-12
ENST00000471444_9606	RNAfold	data/raw/rna/predicted_structures/rnafold_dbn/ENST00000471444_9606.dbn		-43.90	ViennaRNA:2.7.2	2026-04-12
ENST00000471637_9606	RNAfold	data/raw/rna/predicted_structures/rnafold_dbn/ENST00000471637_9606.dbn		-33.90	ViennaRNA:2.7.2	2026-04-12
ENST00000471970_9606	RNAfold	data/raw/rna/predicted_structures/rnafold_dbn/ENST00000471970_9606.dbn		-43.90	ViennaRNA:2.7.2	2026-04-12
ENST00000472848_9606	RNAfold	data/raw/rna/predicted_structures/rnafold_dbn/ENST00000472848_9606.dbn		-34.40	ViennaRNA:2.7.2	2026-04-12
ENST00000473775_9606	RNAfold	data/raw/rna/predicted_structures/rnafold_dbn/ENST00000473775_9606.dbn		-52.90	ViennaRNA:2.7.2	2026-04-12
ENST00000474101_9606	RNAfold	data/raw/rna/predicted_structures/rnafold_dbn/ENST00000474101_9606.dbn		-56.70	ViennaRNA:2.7.2	2026-04-12
ENST00000474326_9606	RNAfold	data/raw/rna/predicted_structures/rnafold_dbn/ENST00000474326_9606.dbn		-55.70	ViennaRNA:2.7.2	2026-04-12
ENST00000474357_9606	RNAfold	data/raw/rna/predicted_structures/rnafold_dbn/ENST00000474357_9606.dbn		-39.20	ViennaRNA:2.7.2	2026-04-12
ENST00000474506_9606	RNAfold	data/raw/rna/predicted_structures/rnafold_dbn/ENST00000474506_9606.dbn		-33.70	ViennaRNA:2.7.2	2026-04-12
ENST00000474695_9606	RNAfold	data/raw/rna/predicted_structures/rnafold_dbn/ENST00000474695_9606.dbn		-35.90	ViennaRNA:2.7.2	2026-04-12
ENST00000474702_9606	RNAfold	data/raw/rna/predicted_structures/rnafold_dbn/ENST00000474702_9606.dbn		-39.30	ViennaRNA:2.7.2	2026-04-12
ENST00000475286_9606	RNAfold	data/raw/rna/predicted_structures/rnafold_dbn/ENST00000475286_9606.dbn		-56.40	ViennaRNA:2.7.2	2026-04-12
ENST00000475746_9606	RNAfold	data/raw/rna/predicted_structures/rnafold_dbn/ENST00000475746_9606.dbn		-32.50	ViennaRNA:2.7.2	2026-04-12
ENST00000476218_9606	RNAfold	data/raw/rna/predicted_structures/rnafold_dbn/ENST00000476218_9606.dbn		-56.80	ViennaRNA:2.7.2	2026-04-12
ENST00000476240_9606	RNAfold	data/raw/rna/predicted_structures/rnafold_dbn/ENST00000476240_9606.dbn		-42.50	ViennaRNA:2.7.2	2026-04-12
ENST00000476267_9606	RNAfold	data/raw/rna/predicted_structures/rnafold_dbn/ENST00000476267_9606.dbn		-72.20	ViennaRNA:2.7.2	2026-04-12
ENST00000476654_9606	RNAfold	data/raw/rna/predicted_structures/rnafold_dbn/ENST00000476654_9606.dbn		-65.40	ViennaRNA:2.7.2	2026-04-12
ENST00000477243_9606	RNAfold	data/raw/rna/predicted_structures/rnafold_dbn/ENST00000477243_9606.dbn		-36.20	ViennaRNA:2.7.2	2026-04-12
ENST00000477653_9606	RNAfold	data/raw/rna/predicted_structures/rnafold_dbn/ENST00000477653_9606.dbn		-48.10	ViennaRNA:2.7.2	2026-04-12
ENST00000478075_9606	RNAfold	data/raw/rna/predicted_structures/rnafold_dbn/ENST00000478075_9606.dbn		-34.20	ViennaRNA:2.7.2	2026-04-12
ENST00000478276_9606	RNAfold	data/raw/rna/predicted_structures/rnafold_dbn/ENST00000478276_9606.dbn		-39.40	ViennaRNA:2.7.2	2026-04-12
ENST00000478421_9606	RNAfold	data/raw/rna/predicted_structures/rnafold_dbn/ENST00000478421_9606.dbn		-26.10	ViennaRNA:2.7.2	2026-04-12
ENST00000478662_9606	RNAfold	data/raw/rna/predicted_structures/rnafold_dbn/ENST00000478662_9606.dbn		-35.50	ViennaRNA:2.7.2	2026-04-12
ENST00000479450_9606	RNAfold	data/raw/rna/predicted_structures/rnafold_dbn/ENST00000479450_9606.dbn		-60.90	ViennaRNA:2.7.2	2026-04-12
ENST00000479634_9606	RNAfold	data/raw/rna/predicted_structures/rnafold_dbn/ENST00000479634_9606.dbn		-51.80	ViennaRNA:2.7.2	2026-04-12
ENST00000479817_9606	RNAfold	data/raw/rna/predicted_structures/rnafold_dbn/ENST00000479817_9606.dbn		-44.80	ViennaRNA:2.7.2	2026-04-12
ENST00000479843_9606	RNAfold	data/raw/rna/predicted_structures/rnafold_dbn/ENST00000479843_9606.dbn		-35.70	ViennaRNA:2.7.2	2026-04-12
ENST00000480207_9606	RNAfold	data/raw/rna/predicted_structures/rnafold_dbn/ENST00000480207_9606.dbn		-60.20	ViennaRNA:2.7.2	2026-04-12
ENST00000480415_9606	RNAfold	data/raw/rna/predicted_structures/rnafold_dbn/ENST00000480415_9606.dbn		-59.90	ViennaRNA:2.7.2	2026-04-12
ENST00000480645_9606	RNAfold	data/raw/rna/predicted_structures/rnafold_dbn/ENST00000480645_9606.dbn		-40.80	ViennaRNA:2.7.2	2026-04-12
ENST00000480741_9606	RNAfold	data/raw/rna/predicted_structures/rnafold_dbn/ENST00000480741_9606.dbn		-54.40	ViennaRNA:2.7.2	2026-04-12
ENST00000480888_9606	RNAfold	data/raw/rna/predicted_structures/rnafold_dbn/ENST00000480888_9606.dbn		-54.30	ViennaRNA:2.7.2	2026-04-12
ENST00000482021_9606	RNAfold	data/raw/rna/predicted_structures/rnafold_dbn/ENST00000482021_9606.dbn		-65.50	ViennaRNA:2.7.2	2026-04-12
ENST00000482228_9606	RNAfold	data/raw/rna/predicted_structures/rnafold_dbn/ENST00000482228_9606.dbn		-37.90	ViennaRNA:2.7.2	2026-04-12
ENST00000482946_9606	RNAfold	data/raw/rna/predicted_structures/rnafold_dbn/ENST00000482946_9606.dbn		-42.00	ViennaRNA:2.7.2	2026-04-12
ENST00000483380_9606	RNAfold	data/raw/rna/predicted_structures/rnafold_dbn/ENST00000483380_9606.dbn		-79.10	ViennaRNA:2.7.2	2026-04-12
ENST00000483935_9606	RNAfold	data/raw/rna/predicted_structures/rnafold_dbn/ENST00000483935_9606.dbn		-36.50	ViennaRNA:2.7.2	2026-04-12
ENST00000484035_9606	RNAfold	data/raw/rna/predicted_structures/rnafold_dbn/ENST00000484035_9606.dbn		-37.60	ViennaRNA:2.7.2	2026-04-12
ENST00000484486_9606	RNAfold	data/raw/rna/predicted_structures/rnafold_dbn/ENST00000484486_9606.dbn		-54.00	ViennaRNA:2.7.2	2026-04-12
ENST00000484627_9606	RNAfold	data/raw/rna/predicted_structures/rnafold_dbn/ENST00000484627_9606.dbn		-49.30	ViennaRNA:2.7.2	2026-04-12
ENST00000485930_9606	RNAfold	data/raw/rna/predicted_structures/rnafold_dbn/ENST00000485930_9606.dbn		-37.20	ViennaRNA:2.7.2	2026-04-12
ENST00000486006_9606	RNAfold	data/raw/rna/predicted_structures/rnafold_dbn/ENST00000486006_9606.dbn		-43.00	ViennaRNA:2.7.2	2026-04-12
ENST00000486068_9606	RNAfold	data/raw/rna/predicted_structures/rnafold_dbn/ENST00000486068_9606.dbn		-25.20	ViennaRNA:2.7.2	2026-04-12
ENST00000486219_9606	RNAfold	data/raw/rna/predicted_structures/rnafold_dbn/ENST00000486219_9606.dbn		-37.40	ViennaRNA:2.7.2	2026-04-12
ENST00000488161_9606	RNAfold	data/raw/rna/predicted_structures/rnafold_dbn/ENST00000488161_9606.dbn		-37.90	ViennaRNA:2.7.2	2026-04-12
ENST00000488343_9606	RNAfold	data/raw/rna/predicted_structures/rnafold_dbn/ENST00000488343_9606.dbn		-60.10	ViennaRNA:2.7.2	2026-04-12
ENST00000490031_9606	RNAfold	data/raw/rna/predicted_structures/rnafold_dbn/ENST00000490031_9606.dbn		-48.20	ViennaRNA:2.7.2	2026-04-12
ENST00000490121_9606	RNAfold	data/raw/rna/predicted_structures/rnafold_dbn/ENST00000490121_9606.dbn		-53.20	ViennaRNA:2.7.2	2026-04-12
ENST00000490378_9606	RNAfold	data/raw/rna/predicted_structures/rnafold_dbn/ENST00000490378_9606.dbn		-53.60	ViennaRNA:2.7.2	2026-04-12
ENST00000490959_9606	RNAfold	data/raw/rna/predicted_structures/rnafold_dbn/ENST00000490959_9606.dbn		-61.50	ViennaRNA:2.7.2	2026-04-12
ENST00000491170_9606	RNAfold	data/raw/rna/predicted_structures/rnafold_dbn/ENST00000491170_9606.dbn		-40.40	ViennaRNA:2.7.2	2026-04-12
ENST00000491220_9606	RNAfold	data/raw/rna/predicted_structures/rnafold_dbn/ENST00000491220_9606.dbn		-57.50	ViennaRNA:2.7.2	2026-04-12
ENST00000491868_9606	RNAfold	data/raw/rna/predicted_structures/rnafold_dbn/ENST00000491868_9606.dbn		-41.30	ViennaRNA:2.7.2	2026-04-12
ENST00000492426_9606	RNAfold	data/raw/rna/predicted_structures/rnafold_dbn/ENST00000492426_9606.dbn		-36.40	ViennaRNA:2.7.2	2026-04-12
ENST00000492510_9606	RNAfold	data/raw/rna/predicted_structures/rnafold_dbn/ENST00000492510_9606.dbn		-46.90	ViennaRNA:2.7.2	2026-04-12
ENST00000492554_9606	RNAfold	data/raw/rna/predicted_structures/rnafold_dbn/ENST00000492554_9606.dbn		-44.10	ViennaRNA:2.7.2	2026-04-12
ENST00000493552_9606	RNAfold	data/raw/rna/predicted_structures/rnafold_dbn/ENST00000493552_9606.dbn		-27.00	ViennaRNA:2.7.2	2026-04-12
ENST00000493596_9606	RNAfold	data/raw/rna/predicted_structures/rnafold_dbn/ENST00000493596_9606.dbn		-64.50	ViennaRNA:2.7.2	2026-04-12
ENST00000494015_9606	RNAfold	data/raw/rna/predicted_structures/rnafold_dbn/ENST00000494015_9606.dbn		-38.70	ViennaRNA:2.7.2	2026-04-12
ENST00000494403_9606	RNAfold	data/raw/rna/predicted_structures/rnafold_dbn/ENST00000494403_9606.dbn		-52.50	ViennaRNA:2.7.2	2026-04-12
ENST00000494654_9606	RNAfold	data/raw/rna/predicted_structures/rnafold_dbn/ENST00000494654_9606.dbn		-40.10	ViennaRNA:2.7.2	2026-04-12
ENST00000494789_9606	RNAfold	data/raw/rna/predicted_structures/rnafold_dbn/ENST00000494789_9606.dbn		-45.70	ViennaRNA:2.7.2	2026-04-12
ENST00000495099_9606	RNAfold	data/raw/rna/predicted_structures/rnafold_dbn/ENST00000495099_9606.dbn		-67.70	ViennaRNA:2.7.2	2026-04-12
ENST00000495475_9606	RNAfold	data/raw/rna/predicted_structures/rnafold_dbn/ENST00000495475_9606.dbn		-57.50	ViennaRNA:2.7.2	2026-04-12
ENST00000495507_9606	RNAfold	data/raw/rna/predicted_structures/rnafold_dbn/ENST00000495507_9606.dbn		-29.10	ViennaRNA:2.7.2	2026-04-12
ENST00000495715_9606	RNAfold	data/raw/rna/predicted_structures/rnafold_dbn/ENST00000495715_9606.dbn		-35.60	ViennaRNA:2.7.2	2026-04-12
ENST00000495808_9606	RNAfold	data/raw/rna/predicted_structures/rnafold_dbn/ENST00000495808_9606.dbn		-52.50	ViennaRNA:2.7.2	2026-04-12
ENST00000495824_9606	RNAfold	data/raw/rna/predicted_structures/rnafold_dbn/ENST00000495824_9606.dbn		-59.40	ViennaRNA:2.7.2	2026-04-12
ENST00000496581_9606	RNAfold	data/raw/rna/predicted_structures/rnafold_dbn/ENST00000496581_9606.dbn		-54.10	ViennaRNA:2.7.2	2026-04-12
ENST00000496904_9606	RNAfold	data/raw/rna/predicted_structures/rnafold_dbn/ENST00000496904_9606.dbn		-52.60	ViennaRNA:2.7.2	2026-04-12
ENST00000496926_9606	RNAfold	data/raw/rna/predicted_structures/rnafold_dbn/ENST00000496926_9606.dbn		-65.20	ViennaRNA:2.7.2	2026-04-12
ENST00000496938_9606	RNAfold	data/raw/rna/predicted_structures/rnafold_dbn/ENST00000496938_9606.dbn		-61.40	ViennaRNA:2.7.2	2026-04-12
ENST00000497018_9606	RNAfold	data/raw/rna/predicted_structures/rnafold_dbn/ENST00000497018_9606.dbn		-49.10	ViennaRNA:2.7.2	2026-04-12
ENST00000497064_9606	RNAfold	data/raw/rna/predicted_structures/rnafold_dbn/ENST00000497064_9606.dbn		-43.90	ViennaRNA:2.7.2	2026-04-12
ENST00000497072_9606	RNAfold	data/raw/rna/predicted_structures/rnafold_dbn/ENST00000497072_9606.dbn		-65.20	ViennaRNA:2.7.2	2026-04-12
ENST00000497185_9606	RNAfold	data/raw/rna/predicted_structures/rnafold_dbn/ENST00000497185_9606.dbn		-19.60	ViennaRNA:2.7.2	2026-04-12
ENST00000497829_9606	RNAfold	data/raw/rna/predicted_structures/rnafold_dbn/ENST00000497829_9606.dbn		-31.50	ViennaRNA:2.7.2	2026-04-12
ENST00000498118_9606	RNAfold	data/raw/rna/predicted_structures/rnafold_dbn/ENST00000498118_9606.dbn		-60.30	ViennaRNA:2.7.2	2026-04-12
ENST00000498552_9606	RNAfold	data/raw/rna/predicted_structures/rnafold_dbn/ENST00000498552_9606.dbn		-35.30	ViennaRNA:2.7.2	2026-04-12
ENST00000503398_9606	RNAfold	data/raw/rna/predicted_structures/rnafold_dbn/ENST00000503398_9606.dbn		-29.80	ViennaRNA:2.7.2	2026-04-12
ENST00000504559_9606	RNAfold	data/raw/rna/predicted_structures/rnafold_dbn/ENST00000504559_9606.dbn		-70.30	ViennaRNA:2.7.2	2026-04-12
ENST00000506825_9606	RNAfold	data/raw/rna/predicted_structures/rnafold_dbn/ENST00000506825_9606.dbn		-54.90	ViennaRNA:2.7.2	2026-04-12
ENST00000506874_9606	RNAfold	data/raw/rna/predicted_structures/rnafold_dbn/ENST00000506874_9606.dbn		-77.70	ViennaRNA:2.7.2	2026-04-12
ENST00000507578_9606	RNAfold	data/raw/rna/predicted_structures/rnafold_dbn/ENST00000507578_9606.dbn		-45.20	ViennaRNA:2.7.2	2026-04-12
ENST00000507727_9606	RNAfold	data/raw/rna/predicted_structures/rnafold_dbn/ENST00000507727_9606.dbn		-38.40	ViennaRNA:2.7.2	2026-04-12
ENST00000508536_9606	RNAfold	data/raw/rna/predicted_structures/rnafold_dbn/ENST00000508536_9606.dbn		-32.70	ViennaRNA:2.7.2	2026-04-12
ENST00000508734_9606	RNAfold	data/raw/rna/predicted_structures/rnafold_dbn/ENST00000508734_9606.dbn		-52.50	ViennaRNA:2.7.2	2026-04-12
ENST00000509561_9606	RNAfold	data/raw/rna/predicted_structures/rnafold_dbn/ENST00000509561_9606.dbn		-36.70	ViennaRNA:2.7.2	2026-04-12
ENST00000509764_9606	RNAfold	data/raw/rna/predicted_structures/rnafold_dbn/ENST00000509764_9606.dbn		-38.50	ViennaRNA:2.7.2	2026-04-12
ENST00000509778_9606	RNAfold	data/raw/rna/predicted_structures/rnafold_dbn/ENST00000509778_9606.dbn		-62.80	ViennaRNA:2.7.2	2026-04-12
ENST00000509897_9606	RNAfold	data/raw/rna/predicted_structures/rnafold_dbn/ENST00000509897_9606.dbn		-23.70	ViennaRNA:2.7.2	2026-04-12
ENST00000510427_9606	RNAfold	data/raw/rna/predicted_structures/rnafold_dbn/ENST00000510427_9606.dbn		-56.20	ViennaRNA:2.7.2	2026-04-12
ENST00000510528_9606	RNAfold	data/raw/rna/predicted_structures/rnafold_dbn/ENST00000510528_9606.dbn		-42.50	ViennaRNA:2.7.2	2026-04-12
ENST00000510578_9606	RNAfold	data/raw/rna/predicted_structures/rnafold_dbn/ENST00000510578_9606.dbn		-43.80	ViennaRNA:2.7.2	2026-04-12
ENST00000511997_9606	RNAfold	data/raw/rna/predicted_structures/rnafold_dbn/ENST00000511997_9606.dbn		-30.10	ViennaRNA:2.7.2	2026-04-12
ENST00000513514_9606	RNAfold	data/raw/rna/predicted_structures/rnafold_dbn/ENST00000513514_9606.dbn		-61.60	ViennaRNA:2.7.2	2026-04-12
ENST00000513709_9606	RNAfold	data/raw/rna/predicted_structures/rnafold_dbn/ENST00000513709_9606.dbn		-70.80	ViennaRNA:2.7.2	2026-04-12
ENST00000513720_9606	RNAfold	data/raw/rna/predicted_structures/rnafold_dbn/ENST00000513720_9606.dbn		-46.80	ViennaRNA:2.7.2	2026-04-12
ENST00000514155_9606	RNAfold	data/raw/rna/predicted_structures/rnafold_dbn/ENST00000514155_9606.dbn		-26.20	ViennaRNA:2.7.2	2026-04-12
ENST00000514868_9606	RNAfold	data/raw/rna/predicted_structures/rnafold_dbn/ENST00000514868_9606.dbn		-35.60	ViennaRNA:2.7.2	2026-04-12
ENST00000518058_9606	RNAfold	data/raw/rna/predicted_structures/rnafold_dbn/ENST00000518058_9606.dbn		-69.60	ViennaRNA:2.7.2	2026-04-12
ENST00000518728_9606	RNAfold	data/raw/rna/predicted_structures/rnafold_dbn/ENST00000518728_9606.dbn		-28.50	ViennaRNA:2.7.2	2026-04-12
ENST00000519090_9606	RNAfold	data/raw/rna/predicted_structures/rnafold_dbn/ENST00000519090_9606.dbn		-31.20	ViennaRNA:2.7.2	2026-04-12
ENST00000519184_9606	RNAfold	data/raw/rna/predicted_structures/rnafold_dbn/ENST00000519184_9606.dbn		-68.50	ViennaRNA:2.7.2	2026-04-12
ENST00000520039_9606	RNAfold	data/raw/rna/predicted_structures/rnafold_dbn/ENST00000520039_9606.dbn		-44.50	ViennaRNA:2.7.2	2026-04-12
ENST00000520505_9606	RNAfold	data/raw/rna/predicted_structures/rnafold_dbn/ENST00000520505_9606.dbn		-53.10	ViennaRNA:2.7.2	2026-04-12
ENST00000521235_9606	RNAfold	data/raw/rna/predicted_structures/rnafold_dbn/ENST00000521235_9606.dbn		-70.30	ViennaRNA:2.7.2	2026-04-12
ENST00000521816_9606	RNAfold	data/raw/rna/predicted_structures/rnafold_dbn/ENST00000521816_9606.dbn		-21.30	ViennaRNA:2.7.2	2026-04-12
ENST00000521949_9606	RNAfold	data/raw/rna/predicted_structures/rnafold_dbn/ENST00000521949_9606.dbn		-31.40	ViennaRNA:2.7.2	2026-04-12
ENST00000522585_9606	RNAfold	data/raw/rna/predicted_structures/rnafold_dbn/ENST00000522585_9606.dbn		-18.70	ViennaRNA:2.7.2	2026-04-12
ENST00000522932_9606	RNAfold	data/raw/rna/predicted_structures/rnafold_dbn/ENST00000522932_9606.dbn		-56.30	ViennaRNA:2.7.2	2026-04-12
ENST00000523132_9606	RNAfold	data/raw/rna/predicted_structures/rnafold_dbn/ENST00000523132_9606.dbn		-35.50	ViennaRNA:2.7.2	2026-04-12
ENST00000523136_9606	RNAfold	data/raw/rna/predicted_structures/rnafold_dbn/ENST00000523136_9606.dbn		-49.10	ViennaRNA:2.7.2	2026-04-12
ENST00000523680_9606	RNAfold	data/raw/rna/predicted_structures/rnafold_dbn/ENST00000523680_9606.dbn		-26.00	ViennaRNA:2.7.2	2026-04-12
ENST00000524177_9606	RNAfold	data/raw/rna/predicted_structures/rnafold_dbn/ENST00000524177_9606.dbn		-43.70	ViennaRNA:2.7.2	2026-04-12
ENST00000524322_9606	RNAfold	data/raw/rna/predicted_structures/rnafold_dbn/ENST00000524322_9606.dbn		-58.10	ViennaRNA:2.7.2	2026-04-12
ENST00000524954_9606	RNAfold	data/raw/rna/predicted_structures/rnafold_dbn/ENST00000524954_9606.dbn		-63.50	ViennaRNA:2.7.2	2026-04-12
ENST00000525554_9606	RNAfold	data/raw/rna/predicted_structures/rnafold_dbn/ENST00000525554_9606.dbn		-25.90	ViennaRNA:2.7.2	2026-04-12
ENST00000526287_9606	RNAfold	data/raw/rna/predicted_structures/rnafold_dbn/ENST00000526287_9606.dbn		-32.70	ViennaRNA:2.7.2	2026-04-12
ENST00000526665_9606	RNAfold	data/raw/rna/predicted_structures/rnafold_dbn/ENST00000526665_9606.dbn		-36.00	ViennaRNA:2.7.2	2026-04-12
